date,notes,region_code,region,metric,value
2026-01-01,[no note],E12000002,North West,50kW+ EV chargers,2853.0
2026-01-01,[no note],E12000002,North West,EV chargers per 100k,104.944623617141
2026-01-01,[no note],E12000002,North West,50kW+ EV chargers per 100k,36.8727846280424
2026-01-01,[no note],E12000003,Yorkshire and The Humber,EV chargers,6153.0
2026-01-01,[no note],E12000003,Yorkshire and The Humber,50kW+ EV chargers,1881.0
2026-01-01,[no note],E12000003,Yorkshire and The Humber,EV chargers per 100k,108.461858196829
2026-01-01,[no note],E12000003,Yorkshire and The Humber,50kW+ EV chargers per 100k,33.1572818573437
2026-01-01,[no note],E12000004,East Midlands,EV chargers,6119.0
2026-01-01,[no note],E12000004,East Midlands,50kW+ EV chargers,2192.0
2026-01-01,[no note],E12000004,East Midlands,EV chargers per 100k,120.853284625977
2026-01-01,[no note],E12000004,East Midlands,50kW+ EV chargers per 100k,43.2930870894168
2026-01-01,[no note],E12000005,West Midlands,EV chargers,9890.0
2026-01-01,[no note],E12000005,West Midlands,50kW+ EV chargers,2559.0
2026-01-01,[no note],E12000005,West Midlands,EV chargers per 100k,159.846030614151
2026-01-01,[no note],E12000005,West Midlands,50kW+ EV chargers per 100k,41.3595543318113
2026-01-01,[no note],E12000006,East of England,EV chargers,9269.0
2026-01-01,[no note],E12000006,East of England,50kW+ EV chargers,2892.0
2026-01-01,[no note],E12000006,East of England,EV chargers per 100k,140.94538788189
2026-01-01,[no note],E12000006,East of England,50kW+ EV chargers per 100k,43.9760558587146
2026-01-01,[no note],E12000007,London,EV chargers,30728.0
2026-01-01,[no note],E12000007,London,50kW+ EV chargers,2329.0
2026-01-01,[no note],E12000007,London,EV chargers per 100k,338.051622181326
2026-01-01,[no note],E12000007,London,50kW+ EV chargers per 100k,25.6223063024053
2026-01-01,[no note],E12000008,South East,EV chargers,14406.0
2026-01-01,[no note],E12000008,South East,50kW+ EV chargers,3506.0
2026-01-01,[no note],E12000008,South East,EV chargers per 100k,149.394240886236
2026-01-01,[no note],E12000008,South East,50kW+ EV chargers per 100k,36.3581985663711
2026-01-01,[no note],E12000009,South West,EV chargers,8716.0
2026-01-01,[no note],E12000009,South West,50kW+ EV chargers,2692.0
2026-01-01,[no note],E12000009,South West,EV chargers per 100k,147.987289664405
2026-01-01,[no note],E12000009,South West,50kW+ EV chargers per 100k,45.7069508692725
2026-01-01,[no note],W92000004,Wales,EV chargers,5644.0
2026-01-01,[no note],W92000004,Wales,50kW+ EV chargers,1273.0
2026-01-01,[no note],W92000004,Wales,EV chargers per 100k,177.11773213987
2026-01-01,[no note],W92000004,Wales,50kW+ EV chargers per 100k,39.9487726814413
2026-01-01,[no note],S92000003,Scotland,EV chargers,12065.0
2026-01-01,[no note],S92000003,Scotland,50kW+ EV chargers,2986.0
2026-01-01,[no note],S92000003,Scotland,EV chargers per 100k,217.508878833222
2026-01-01,[no note],S92000003,Scotland,50kW+ EV chargers per 100k,53.8318700535434
2026-01-01,[no note],N92000002,Northern Ireland,EV chargers,1108.0
2026-01-01,[no note],N92000002,Northern Ireland,50kW+ EV chargers,322.0
2026-01-01,[no note],N92000002,Northern Ireland,EV chargers per 100k,57.4732020821068
2026-01-01,[no note],N92000002,Northern Ireland,50kW+ EV chargers per 100k,16.7025009660996
